,Track_Id,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,Date
793,11793,Bas,1 0 0 . m i l ‘ (with Bas),The Off-Season,album,0.711,0.647,2.0,-5.667,0.0822,0.334,0.0,0.312,0.227,125.092,163302.0,J. Cole - 1 0 0 . m i l ‘  feat. Bas (Official Audio),J. Cole,6958896.0,121852.0,4793.0,False,True,63116873.0,
794,11794,Bas,Night Job,Too High To Riot,album,0.812,0.623,7.0,-7.002,0.343,0.0611,0.0,0.111,0.199,119.883,194227.0,Bas - Night Job ft. J. Cole,BasVEVO,11657963.0,125040.0,3235.0,True,True,68494856.0,2016-01-16
795,11795,Bas,Purge,Milky Way,album,0.908,0.535,7.0,-8.509,0.292,0.632,0.0,0.214,0.271,115.016,186613.0,Bas - Purge,BasVEVO,6632472.0,86460.0,1773.0,True,True,22345113.0,2018-08-24
796,11796,Bas,Run It Up,Run It Up,single,0.707,0.786,9.0,-5.62,0.154,0.0138,2.18e-06,0.155,0.316,75.944,162237.0,Run It Up,Bas - Topic,502518.0,12520.0,331.0,True,True,1805097.0,2022-04-01
797,11797,Bas,Romeo,Loving In Stereo,album,0.751,0.636,3.0,-6.536,0.0856,0.249,0.0,0.361,0.73,95.04,166200.0,JUNGLE - ROMEO FT. BAS (OFFICIAL VIDEO),Jungle4eva,1656451.0,34628.0,883.0,False,False,18297954.0,2001-06-25
798,11798,The Verve,Bitter Sweet Symphony,Urban Hymns (Remastered 2016),album,0.356,0.917,9.0,-6.006,0.0479,0.0335,0.0,0.406,0.518,171.176,357267.0,The Verve - Bitter Sweet Symphony,TheVerveVEVO,879974030.0,4337408.0,140119.0,True,True,808323461.0,1997-09-29
799,11799,The Verve,Lucky Man,Urban Hymns (Deluxe / Remastered 2016),album,0.407,0.663,2.0,-7.591,0.0305,0.255,0.000166,0.0913,0.211,75.989,293587.0,The Verve - Lucky Man (Official Music Video),TheVerveVEVO,94080140.0,388513.0,17346.0,True,True,127659740.0,1997-09-29
800,11800,The Verve,The Drugs Don't Work,Urban Hymns (Deluxe / Remastered 2016),album,0.442,0.52,0.0,-8.648,0.0261,0.184,0.0,0.154,0.177,77.437,304880.0,The Verve - The Drugs Don't Work,TheVerveVEVO,33859412.0,190935.0,11212.0,True,True,106804662.0,1997-09-29
801,11801,The Verve,Sonnet,Urban Hymns (Remastered 2016),album,0.433,0.725,0.0,-7.296,0.0244,0.12,4.34e-05,0.225,0.376,89.059,261360.0,The Verve - Sonnet (Official Video),TheVerveVEVO,26206456.0,127160.0,4743.0,True,True,66860364.0,1997-09-29
802,11802,The Verve,Love is Noise,Forth,album,0.426,0.865,7.0,-4.153,0.0411,0.000472,0.0,0.385,0.311,123.06,327960.0,The Verve - Love Is Noise (Official Video),TheVerveVEVO,14427179.0,74948.0,2517.0,True,True,,2008-08-26
803,11803,The Verve,On Your Own - Remastered 2016,A Northern Soul (2016 Remastered / Deluxe),album,0.447,0.711,4.0,-7.291,0.0237,0.359,2.81e-06,0.247,0.379,86.217,213733.0,The Verve - On Your Own,TheVerveVEVO,1314619.0,3460.0,247.0,True,True,3691032.0,1995
804,11804,The Verve,History - Remastered 2016,A Northern Soul (2016 Remastered / Deluxe),album,0.338,0.638,2.0,-7.989,0.0332,0.105,0.0,0.102,0.113,133.99,326093.0,History (Remastered 2016),The Verve - Topic,129457.0,1709.0,6.0,True,True,11245943.0,1995
805,11805,The Verve,Slide Away - 2016 Remastered,A Storm In Heaven,album,0.306,0.635,2.0,-7.566,0.032,0.017,0.323,0.0769,0.221,150.1,243453.0,The Verve - Slide Away,TheVerveVEVO,4782686.0,12824.0,879.0,True,True,4079203.0,1993-06-21
806,11806,The Verve,Catching The Butterfly,Urban Hymns (Remastered 2016),album,0.315,0.851,2.0,-8.957,0.0361,0.228,0.74,0.274,0.448,92.356,386907.0,The Verve - Catching The Butterfly (faded version),TheVerveVEVO,482635.0,6584.0,335.0,True,True,4987749.0,1997-09-29
807,11807,The Verve,Space And Time,Urban Hymns (Deluxe / Remastered 2016),album,0.21,0.723,2.0,-8.803,0.0366,0.0419,0.00457,0.138,0.326,165.495,336640.0,The Verve - Space & Time,IavMusic,1443061.0,4232.0,372.0,False,False,,1997-09-29
808,11808,Mazzy Star,Fade Into You,So Tonight That I Might See,album,0.42,0.33,9.0,-13.925,0.0275,0.245,0.000679,0.0677,0.175,157.143,295600.0,Mazzy Star - Fade Into You (Official Music Video),MazzyStarVEVO,56650189.0,536645.0,25878.0,True,True,296526760.0,1993-10-05
